               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.029881,            0.015525,                   0,              0.8821,              0.7761,             0.88309,             0.55556,            0.034455,            0.026904,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.030114,             0.01568,                   0,              0.8835,             0.77885,             0.88437,             0.55641,            0.034413,            0.026725,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.029879,            0.015509,                   0,             0.89082,                0.77,             0.88433,              0.5561,            0.034488,            0.026917,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.030046,            0.015426,                   0,              0.8954,             0.77208,             0.88587,             0.55692,            0.034468,            0.026808,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.029673,            0.015462,                   0,             0.88725,             0.77951,             0.88509,             0.55715,            0.034343,            0.026632,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.029981,            0.015587,                   0,             0.89619,             0.76495,             0.88143,             0.55586,            0.034455,            0.026913,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.029501,             0.01525,                   0,             0.89623,             0.76484,             0.88084,             0.55743,            0.034447,            0.027014,                   0,            0.006304,            0.006304,            0.006304
                 114,              0.0296,            0.015572,                   0,             0.90147,             0.76356,             0.88074,             0.55735,            0.034405,            0.026991,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.029725,            0.015509,                   0,             0.89848,             0.76299,             0.88217,             0.55794,            0.034332,            0.027021,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.029552,            0.015383,                   0,             0.86814,             0.78965,             0.88584,             0.55997,            0.034295,            0.026787,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.029251,            0.015187,                   0,             0.88256,             0.77406,             0.88216,             0.55747,            0.034512,            0.027304,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.029208,            0.015318,                   0,             0.89911,             0.76659,             0.88238,             0.55679,             0.03437,            0.027195,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.029365,            0.015294,                   0,             0.89796,             0.76864,              0.8831,               0.558,            0.034119,            0.027121,                   0,            0.006106,            0.006106,            0.006106
                 120,             0.02943,            0.015161,                   0,             0.89305,             0.77442,             0.88402,             0.55965,            0.034145,            0.027121,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.029639,            0.015276,                   0,             0.89264,             0.77587,             0.88425,             0.55903,             0.03424,            0.027047,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.029248,            0.015171,                   0,             0.90094,              0.7689,             0.88445,             0.55967,            0.034232,            0.027069,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.029269,            0.015506,                   0,             0.88808,             0.77637,              0.8853,             0.56052,            0.034164,            0.026958,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.029117,            0.015157,                   0,             0.89177,             0.77277,             0.88391,             0.55967,            0.034217,            0.027076,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.029184,            0.015402,                   0,              0.8965,             0.77174,             0.88494,             0.56009,            0.034221,            0.027021,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.029135,            0.015054,                   0,             0.89342,             0.77369,              0.8844,             0.55944,            0.034226,            0.027054,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.029382,            0.015217,                   0,             0.89182,             0.77397,             0.88367,             0.55904,            0.034186,            0.027201,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.029183,            0.015128,                   0,             0.89531,             0.76852,             0.88402,             0.56004,            0.034073,            0.027116,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.029083,            0.015327,                   0,             0.89765,              0.7695,             0.88489,             0.56107,            0.033996,            0.027152,                   0,            0.005776,            0.005776,            0.005776
                 130,             0.02941,            0.015119,                   0,             0.90203,             0.76495,             0.88383,              0.5602,            0.034035,            0.027213,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.029079,            0.015173,                   0,             0.89837,               0.766,             0.88248,             0.56026,            0.034023,            0.027291,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.029115,            0.015282,                   0,             0.90189,             0.76742,              0.8842,              0.5609,            0.034086,            0.027176,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.028865,            0.015156,                   0,             0.89997,             0.76894,             0.88448,             0.56066,            0.034035,            0.027144,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.028877,            0.015074,                   0,              0.8979,             0.77052,             0.88451,              0.5605,            0.033989,            0.027117,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.029106,            0.014952,                   0,             0.89348,             0.77174,             0.88434,             0.56049,            0.033999,            0.027222,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.028917,            0.015043,                   0,             0.88924,              0.7727,             0.88321,              0.5609,            0.033972,            0.027356,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.028687,            0.015295,                   0,              0.8919,             0.77269,             0.88318,             0.56148,             0.03395,             0.02751,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.029143,            0.015018,                   0,             0.88844,             0.77455,             0.88191,             0.55988,            0.033941,            0.027514,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.028658,            0.014789,                   0,             0.89608,             0.76858,             0.88237,             0.56056,            0.033915,             0.02755,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.028618,            0.014976,                   0,             0.89994,             0.76565,             0.88273,             0.56161,            0.033892,            0.027485,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.028749,            0.014785,                   0,             0.90608,             0.76134,             0.88248,             0.56196,            0.033874,            0.027558,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.028666,            0.014809,                   0,             0.90021,             0.76559,             0.88211,             0.56169,            0.033862,             0.02766,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.028427,            0.014862,                   0,             0.90513,             0.75896,             0.88033,              0.5602,            0.033952,            0.027762,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.028566,            0.014714,                   0,              0.9006,             0.76566,             0.88214,             0.56168,            0.033977,              0.0276,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.028457,            0.015064,                   0,             0.90336,             0.76524,             0.88297,             0.56225,            0.033955,            0.027437,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.028465,            0.014949,                   0,             0.89934,             0.76891,             0.88403,             0.56249,            0.033946,             0.02733,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.028292,            0.014799,                   0,             0.90611,             0.76379,             0.88466,             0.56282,            0.033953,            0.027231,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.028306,            0.014919,                   0,             0.89907,              0.7684,             0.88418,             0.56259,            0.033903,            0.027225,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.028735,            0.014923,                   0,             0.89938,             0.76976,             0.88423,             0.56298,            0.033903,            0.027231,                   0,            0.005116,            0.005116,            0.005116
                 150,             0.02818,            0.014695,                   0,             0.89682,             0.77041,             0.88333,             0.56292,            0.033958,            0.027326,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.028159,            0.014681,                   0,             0.90116,             0.76805,             0.88414,             0.56312,            0.033936,            0.027271,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.028134,            0.014918,                   0,             0.90133,             0.76924,             0.88383,             0.56301,             0.03393,            0.027303,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.028189,             0.01488,                   0,             0.90272,             0.76692,             0.88296,             0.56258,            0.033929,            0.027383,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.028012,            0.014909,                   0,             0.90264,             0.76765,             0.88292,             0.56275,            0.033932,            0.027427,                   0,            0.004951,            0.004951,            0.004951
                 155,             0.02832,            0.014697,                   0,             0.90715,             0.76402,               0.883,             0.56278,            0.033901,            0.027443,                   0,            0.004918,            0.004918,            0.004918
                 156,             0.02827,            0.014764,                   0,             0.90104,             0.76834,             0.88336,             0.56346,            0.033858,            0.027444,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.027826,            0.014878,                   0,             0.90932,             0.76231,             0.88321,             0.56311,            0.033869,            0.027471,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.027733,            0.014562,                   0,             0.91216,             0.75952,             0.88237,              0.5633,            0.033861,            0.027542,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.028344,            0.014816,                   0,             0.89098,             0.77269,             0.88156,             0.56236,            0.033871,            0.027638,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.027925,            0.014641,                   0,              0.9038,             0.76405,             0.88158,             0.56225,            0.033861,            0.027673,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.027818,            0.014563,                   0,             0.90334,             0.76498,             0.88157,             0.56237,            0.033865,            0.027664,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.027992,             0.01473,                   0,             0.89641,             0.77128,             0.88168,             0.56219,            0.033858,            0.027672,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.027628,             0.01472,                   0,              0.9023,             0.76768,             0.88218,             0.56219,            0.033849,            0.027611,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.027886,            0.014538,                   0,             0.89822,             0.77142,             0.88279,             0.56281,            0.033811,            0.027561,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.027677,            0.014619,                   0,             0.90456,             0.76725,             0.88332,             0.56314,            0.033796,            0.027571,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.027878,            0.014606,                   0,             0.89994,             0.77079,             0.88249,             0.56307,            0.033806,             0.02765,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.027825,             0.01468,                   0,             0.89809,             0.77274,             0.88287,              0.5636,            0.033822,            0.027645,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.027997,            0.014598,                   0,             0.89326,             0.77561,             0.88251,             0.56333,            0.033822,            0.027674,                   0,            0.004489,            0.004489,            0.004489
                 169,             0.02777,            0.014823,                   0,             0.90215,             0.76831,             0.88241,             0.56372,            0.033799,             0.02767,                   0,            0.004456,            0.004456,            0.004456
                 170,            0.027636,            0.014278,                   0,             0.88753,             0.77943,             0.88225,             0.56368,            0.033794,            0.027704,                   0,            0.004423,            0.004423,            0.004423
                 171,            0.027311,            0.014395,                   0,             0.89713,             0.77179,             0.88181,              0.5636,            0.033798,            0.027756,                   0,             0.00439,             0.00439,             0.00439
                 172,            0.027613,            0.014426,                   0,             0.88833,             0.77729,             0.88161,             0.56354,            0.033782,              0.0278,                   0,            0.004357,            0.004357,            0.004357
                 173,            0.027426,            0.014473,                   0,             0.88848,             0.77756,             0.88152,              0.5637,            0.033766,            0.027816,                   0,            0.004324,            0.004324,            0.004324
